,ranking,name,year,genre,rating,summary,director,actor_1,actor_2,actor_3,actor_4,certificate
199,200,Yakuza: Like a Dragon,2020,"['Action', ' Comedy', ' Crime']",8.8,"Ichiban Kasuga, a low-level Yakuza member looking to prove his self-worth, and follows him and his motley crew of unlikely allies as they attempt to rise from rags to riches in this modern human drama.",Ryosuke Horii,Andrew Morgado,Kazuhiro Nakaya,Kaiji Tang,Akio Ôtsuka,T
200,201,Outer Wilds,2019,"['Adventure', ' Mystery', ' Sci-Fi']",8.8,"Outer Wilds is an exploration game about curiosity, roasting marshmallows, and unraveling the mysteries of the cosmos.",Alex Beachum,,,,,M
201,202,Medieval II: Total War,2006,"['Action', ' History', ' War']",8.8,"A diplomatic, strategic war game set between the years 1080 and 1530, focusing on medieval warfare, religion and politics in Europe, North Africa and the Middle East.",Michael M. Simpson,Greg Baldwin,Tim Bentinck,Steffan Boje,Walter Bonacker,
202,203,StarCraft II: Wings of Liberty,2010,"['Action', ' Adventure', ' Sci-Fi']",8.8,"Four years after the events of  (1998), Jim Raynor fights against the Dominion and begins a search for artifacts when at the same time the Zerg attack once again.",Nicholas S. Carpenter,James Harper,Dave Fennoy,Robert Clotworthy,Brian Bloom,T
203,204,Half-Life 2: Episode One,2006,"['Action', ' Adventure', ' Sci-Fi']",8.8,Gordon Freeman and Alyx Vance must escape City 17 following the explosion of its fusion reactor.,Robin Walker,Robert Guillaume,Robert Culp,Louis Gossett Jr.,Michelle Forbes,M
204,205,Halo 3,2007,"['Action', ' Adventure', ' Sci-Fi']",8.8,Master Chief and the Arbiter must join together to attack the Covenant and destroy the Flood.,Tim Dadabo,Keith David,Steve Downes,Jen Taylor,,M
205,206,Sly 3: Honor Among Thieves,2005,"['Action', ' Adventure', ' Comedy']",8.8,Sly Cooper and the gang must recruit a team of world-class thieves in order to penetrate his family vault of massive wealth and collect his inheritance before an evil genius retrieves it first.,Kevin Miller,Matt Olsen,Chris Murphy,Kevin Blackton,,E10+
206,207,Star Wars: Battlefront II,2005,"['Action', ' Adventure', ' Sci-Fi']",8.8,Play as the foot soldier of the galaxy's greatest factions and wage war across countless planets.,Eric 'Giz' Gewirtz,Bob Bergen,Christina Rumbley,Corey Burton,David Boat,T
207,208,Dragon Quest VIII,2004,"['Action', ' Adventure', ' Drama']",8.8,"The game begins with the court jester of the kingdom of Trodain, Dhoulmagus, stealing an ancient scepter and casting a spell on Trodain castle.",Akihiro Hino,Ricky Grover,Emma Owen,Blake Ritson,Jon Glover,T
208,209,Ratchet & Clank: Up Your Arsenal,2004,"['Action', ' Adventure', ' Comedy']",8.8,"Ratchet and Clank return to the Solana Galaxy to combat Dr. Nefarious, a villain from Qwark's shady past, who wishes to turn all organic life into robots.",James Arnold Taylor,David Kaye,Jim Ward,Armin Shimerman,,T
209,210,Hitman: Blood Money,2006,"['Action', ' Adventure', ' Crime']",8.8,"A larger, more powerful agency is systematically eliminating assassins in a series of hits, who are all from Agent 47's contract killing firm, The International Contract Agency (ICA).",Rasmus Højengaard,David Andriole,David Bateson,Barbara Bernád,Brian Beacock,M
210,211,Ico,2001,"['Adventure', ' Drama', ' Fantasy']",8.8,"On a distant island, there is a legend that anyone born with horns will bring about calamity. When such a boy is locked away in a fortress, he must work together with a girl named Yorda to flee before they can be claimed by the spirits.",Fumito Ueda,Kazuhiro Shindou,Rieko Takahashi,Misa Watanabe,,T
211,212,Sanitarium,1998,"['Adventure', ' Drama', ' Horror']",8.8,After a horrific car crash your character ends up in an asylum. You must find out how you came to be there and recover your identity.,Martin Stoltz,Frank Schurter,Stephen Bennett,Brad Broman,Amanda Crocker,T
212,213,Jet Set Radio Future,2002,"['Action', ' Family', ' Sport']",8.8,"A group of graffiti spraying, roller blading, teens called, ""The GGs"", have to stop a mega corporate enterprise known as, ""The Rokkaku Group"" and their leader, ""Gouji Rokkaku"" who is the ...                 »",Masayoshi Kikuchi,Billy Brown,Charles Martinet,Casey Robertson,Erin Clark,T
