,ranking,name,year,runtime,genre,rating,summary,summary_length
187,188,Mad Max: Fury Road,2015.0,120 min,"['Action', 'Adventure', 'Sci-Fi']",8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",194
188,189,Warrior,2011.0,140 min,"['Action', 'Drama', 'Sport']",8.1,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",231
189,190,Gran Torino,2008.0,116 min,['Drama'],8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",173
190,191,Harry Potter and the Deathly Hallows: Part 2,2011.0,130 min,"['Adventure', 'Fantasy', 'Mystery']",8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",150
191,192,Hachi: A Dog's Tale,2009.0,93 min,"['Biography', 'Drama', 'Family']",8.1,A college professor bonds with an abandoned dog he takes into his home.,71
192,193,Mary and Max,2009.0,92 min,"['Animation', 'Comedy', 'Drama']",8.1,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",194
193,194,How to Train Your Dragon,2010.0,98 min,"['Animation', 'Action', 'Adventure']",8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",168
194,195,Into the Wild,2007.0,148 min,"['Adventure', 'Biography', 'Drama']",8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",298
195,196,No Country for Old Men,2007.0,122 min,"['Crime', 'Drama', 'Thriller']",8.1,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,140
196,197,V for Vendetta,2005.0,132 min,"['Action', 'Drama', 'Sci-Fi']",8.1,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V,"" plots to overthrow it with the help of a young woman.",141
197,198,Million Dollar Baby,2004.0,132 min,"['Drama', 'Sport']",8.1,A determined woman works with a hardened boxing trainer to become a professional.,81
198,199,Hotel Rwanda,2004.0,121 min,"['Biography', 'Drama', 'History']",8.1,", a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",122
199,200,Before Sunset,2004.0,80 min,"['Drama', 'Romance']",8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",116
